metric,file,name,value,line
cyclomatic,examples/5_validation_tuning/06_Time_Dependent_Optimisers.jl,"which_strategy",3,69
cyclomatic,examples/5_validation_tuning/06_Time_Dependent_Optimisers.jl,"ew_vol",1,137
cyclomatic,examples/5_validation_tuning/06_Time_Dependent_Optimisers.jl,"regime",2,140
cyclomatic,examples/5_validation_tuning/06_Time_Dependent_Optimisers.jl,"<anonymous>",1,154
cyclomatic,examples/5_validation_tuning/06_Time_Dependent_Optimisers.jl,"r",2,171
cyclomatic,examples/5_validation_tuning/06_Time_Dependent_Optimisers.jl,"<anonymous>",1,277
cyclomatic,examples/5_validation_tuning/06_Time_Dependent_Optimisers.jl,"r",3,436
cyclomatic,examples/6_post_processing/01_Finite_Allocation.jl,"<anonymous>",3,27
cyclomatic,examples/6_post_processing/01_Finite_Allocation.jl,"drift",1,65
cyclomatic,examples/6_post_processing/03_Performance_Attribution.jl,"<anonymous>",3,31
cyclomatic,examples/6_post_processing/03_Performance_Attribution.jl,"<anonymous>",1,99
cyclomatic,examples/6_post_processing/03_Performance_Attribution.jl,"<anonymous>",1,115
cyclomatic,examples/6_post_processing/03_Performance_Attribution.jl,"<anonymous>",3,123
cyclomatic,examples/7_putting_it_together/01_Profile_Retail_Daily.jl,"<anonymous>",3,27
cyclomatic,examples/7_putting_it_together/02_Profile_Desk_Monthly.jl,"<anonymous>",3,28
cyclomatic,examples/7_putting_it_together/03_Profile_Institutional.jl,"<anonymous>",3,28
cyclomatic,examples/7_putting_it_together/03_Profile_Institutional.jl,"sector_weight",1,78
cyclomatic,examples/7_putting_it_together/04_Profile_Factor_Views.jl,"<anonymous>",3,35
cyclomatic,examples/7_putting_it_together/04_Profile_Factor_Views.jl,"sector_weight",1,99
cyclomatic,ext/PortfolioOptimisersImputeExt.jl,"PortfolioOptimisers.apply_impute_method",1,8
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_portfolio_cumulative_returns",4,15
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_portfolio_cumulative_returns",1,33
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_portfolio_cumulative_returns",3,46
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_portfolio_cumulative_returns",1,60
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_portfolio_cumulative_returns",1,71
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_portfolio_cumulative_returns",4,81
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_portfolio_cumulative_returns",2,91
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_asset_cumulative_returns",4,103
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_asset_cumulative_returns",4,134
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_asset_cumulative_returns",1,151
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_asset_cumulative_returns",1,163
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_asset_cumulative_returns",1,174
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_asset_cumulative_returns",5,181
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_asset_cumulative_returns",2,219
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_composition",2,232
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_composition",2,249
